ID,Date,Line Type,Amount,Currency,Payment reference,Description,Processor ID,Payout,Order ID
ad-Z8QMGPDWTFHSD272,2023-07-20 18:06:01,CREDIT,10.58,CAD,Z8QMGPDWTFHSD272,,Z8QMGPDWTFHSD272,2710101971532977,60071
ad-fe-Z8QMGPDWTFHSD272,2023-07-20 18:06:01,FEE,-0.29,CAD,Z8QMGPDWTFHSD272,,fe-Z8QMGPDWTFHSD272,2710101971532977,60071
ad-V257BFN87969BV62,2023-07-20 18:06:49,CREDIT,14.54,CAD,V257BFN87969BV62,,V257BFN87969BV62,2710101971532977,60072
ad-fe-V257BFN87969BV62,2023-07-20 18:06:49,FEE,-0.36,CAD,V257BFN87969BV62,,fe-V257BFN87969BV62,2710101971532977,60072
ad-V8MZ6NZSDX684V62,2023-07-20 18:08:20,CREDIT,10.58,CAD,V8MZ6NZSDX684V62,,V8MZ6NZSDX684V62,2710101971532977,60073
ad-fe-V8MZ6NZSDX684V62,2023-07-20 18:08:20,FEE,-0.1,CAD,V8MZ6NZSDX684V62,,fe-V8MZ6NZSDX684V62,2710101971532977,60073
ad-JGTLQTNPMGGDP672,2023-07-20 18:10:01,CREDIT,14.92,CAD,JGTLQTNPMGGDP672,,JGTLQTNPMGGDP672,2710101971532977,60075
ad-fe-JGTLQTNPMGGDP672,2023-07-20 18:10:01,FEE,-0.1,CAD,JGTLQTNPMGGDP672,,fe-JGTLQTNPMGGDP672,2710101971532977,60075
ad-D7WCH7W3K3PNT872,2023-07-20 18:13:08,CREDIT,10.58,CAD,D7WCH7W3K3PNT872,,D7WCH7W3K3PNT872,2710101971532977,60076
ad-fe-D7WCH7W3K3PNT872,2023-07-20 18:13:08,FEE,-0.29,CAD,D7WCH7W3K3PNT872,,fe-D7WCH7W3K3PNT872,2710101971532977,60076
ad-PP5JDKXZVTWCRMG2,2023-07-20 18:13:58,CREDIT,12.21,CAD,PP5JDKXZVTWCRMG2,,PP5JDKXZVTWCRMG2,2710101971532977,60078
ad-fe-PP5JDKXZVTWCRMG2,2023-07-20 18:13:58,FEE,-0.32,CAD,PP5JDKXZVTWCRMG2,,fe-PP5JDKXZVTWCRMG2,2710101971532977,60078
